Episode,Step,Action,Reward,Mean Reward,State Values,Action Probs
3,5,Select,3.006437761167584,2.311141976548501,"[array([0.3], dtype=float32), array([-0.06602389], dtype=float32), array([0.8807096], dtype=float32), array([1.], dtype=float32), array([0.8], dtype=float32), array([0.63528997], dtype=float32)]","[0.026957476511597633, 0.9073449969291687, 0.06569752097129822]"
3,6,Select,2.41538636728024,2.3285160416704573,"[array([0.3], dtype=float32), array([0.33219588], dtype=float32), array([0.5307461], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.62188333], dtype=float32)]","[0.06384892761707306, 0.8546314835548401, 0.08151960372924805]"
3,7,Select,2.472509646761635,2.349086556683482,"[array([0.], dtype=float32), array([-0.7765161], dtype=float32), array([0.722234], dtype=float32), array([0.3], dtype=float32), array([0.7], dtype=float32), array([0.19089], dtype=float32)]","[0.03898051753640175, 0.8868913054466248, 0.07412823289632797]"
3,8,Skip,2.0441707309701926,2.3109720784693213,"[array([0.3], dtype=float32), array([-0.6650747], dtype=float32), array([0.46286917], dtype=float32), array([1.], dtype=float32), array([0.65], dtype=float32), array([0.41954842], dtype=float32)]","[0.6366034150123596, 0.3001028001308441, 0.06329382210969925]"
3,9,Select,1.927393409900529,2.268352226406122,"[array([0.2], dtype=float32), array([0.5284515], dtype=float32), array([0.72466594], dtype=float32), array([1.], dtype=float32), array([0.6], dtype=float32), array([0.64205223], dtype=float32)]","[0.1568281501531601, 0.7584035396575928, 0.08476831763982773]"
3,10,Select,3.2517434447173628,2.366691348237246,"[array([0.3], dtype=float32), array([0.46291783], dtype=float32), array([0.42043793], dtype=float32), array([1.], dtype=float32), array([0.55], dtype=float32), array([0.5989388], dtype=float32)]","[0.04699494317173958, 0.8877965211868286, 0.06520850956439972]"
4,1,Select,2.2065574419127474,2.2065574419127474,"[array([0.], dtype=float32), array([0.4812792], dtype=float32), array([0.9714708], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.7408676], dtype=float32)]","[0.04164399579167366, 0.8856115937232971, 0.07274438440799713]"
4,2,Select,2.6627895868499585,2.4346735143813527,"[array([0.3], dtype=float32), array([-0.2728845], dtype=float32), array([0.99874294], dtype=float32), array([0.3], dtype=float32), array([0.95], dtype=float32), array([0.34728748], dtype=float32)]","[0.024024978280067444, 0.9107285737991333, 0.06524640321731567]"
4,3,Select,1.2654799816910187,2.044942336817908,"[array([0.], dtype=float32), array([0.28784248], dtype=float32), array([0.8477371], dtype=float32), array([1.], dtype=float32), array([0.9], dtype=float32), array([0.5829426], dtype=float32)]","[0.36028215289115906, 0.5352290272712708, 0.10448873043060303]"
4,4,Select,2.3439283780355304,2.1196888471223136,"[array([0.], dtype=float32), array([-0.775097], dtype=float32), array([0.7919493], dtype=float32), array([1.], dtype=float32), array([0.85], dtype=float32), array([0.61578244], dtype=float32)]","[0.04987393319606781, 0.874721109867096, 0.07540491223335266]"
4,5,Select,2.2845772292656323,2.1526665235509777,"[array([0.3], dtype=float32), array([-0.07901996], dtype=float32), array([0.737001], dtype=float32), array([1.], dtype=float32), array([0.8], dtype=float32), array([0.6745175], dtype=float32)]","[0.11655079573392868, 0.8061131834983826, 0.07733599096536636]"
4,6,Select,2.4298250857009083,2.1988596172426327,"[array([0.65], dtype=float32), array([-0.471504], dtype=float32), array([0.684236], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.5747916], dtype=float32)]","[0.055487435311079025, 0.8648544549942017, 0.0796581283211708]"
4,7,Select,2.2593592030839265,2.2075024152199605,"[array([0.3], dtype=float32), array([0.28992197], dtype=float32), array([0.6302385], dtype=float32), array([1.], dtype=float32), array([0.7], dtype=float32), array([0.7630149], dtype=float32)]","[0.08651261776685715, 0.8225672841072083, 0.09092004597187042]"
