Episode,Step,Action,Reward,Mean Reward,State Values,Action Probs
4,2,Select,1.3096021806665277,0.5548010903332639,"[array([0.45], dtype=float32), array([0.29247233], dtype=float32), array([0.88900685], dtype=float32), array([0.3], dtype=float32), array([0.95], dtype=float32), array([0.5556824], dtype=float32)]","[2.5445170432215457e-15, 1.0, 1.914988392536757e-15]"
4,3,Select,1.4072315050084563,0.8389445618916613,"[array([0.45], dtype=float32), array([-0.05812434], dtype=float32), array([0.8999791], dtype=float32), array([1.], dtype=float32), array([0.9], dtype=float32), array([0.7465449], dtype=float32)]","[0.0, 1.0, 4.923374335142231e-30]"
4,4,Select,2.0064333582087643,1.1308167609709372,"[array([0.3], dtype=float32), array([0.13766088], dtype=float32), array([0.82174796], dtype=float32), array([1.], dtype=float32), array([0.85], dtype=float32), array([0.66516465], dtype=float32)]","[1.5086538700351655e-28, 1.0, 1.4455220311259975e-20]"
4,5,Select,1.9448822212924797,1.2936298530352457,"[array([0.], dtype=float32), array([-0.2494449], dtype=float32), array([0.7306243], dtype=float32), array([1.], dtype=float32), array([0.8], dtype=float32), array([0.39951372], dtype=float32)]","[9.894468615772477e-32, 1.0, 2.7668262527296787e-21]"
4,6,Skip,1.9139159325756845,1.3970108662919856,"[array([0.5], dtype=float32), array([0.65154344], dtype=float32), array([0.7066531], dtype=float32), array([1.], dtype=float32), array([0.75], dtype=float32), array([0.9086234], dtype=float32)]","[0.9999964237213135, 3.5929740533902077e-06, 1.6653423529078282e-08]"
4,7,Select,4.145633443291839,1.7896712344348218,"[array([0.5], dtype=float32), array([0.15699935], dtype=float32), array([0.61910236], dtype=float32), array([1.], dtype=float32), array([0.7], dtype=float32), array([0.45804518], dtype=float32)]","[9.172367496198184e-35, 1.0, 5.92960803193458e-20]"
4,8,Select,1.6492424070137026,1.7721176310071818,"[array([0.3], dtype=float32), array([-1.], dtype=float32), array([0.5507178], dtype=float32), array([0.3], dtype=float32), array([0.65], dtype=float32), array([0.08476215], dtype=float32)]","[6.288540109651575e-13, 1.0, 2.3094912093846176e-10]"
4,9,Skip,2.556046680039015,1.8592208586773853,"[array([0.], dtype=float32), array([1.], dtype=float32), array([0.5798934], dtype=float32), array([1.], dtype=float32), array([0.6], dtype=float32), array([0.79072326], dtype=float32)]","[0.9999990463256836, 9.510694098935346e-07, 3.059036401964477e-08]"
4,10,Select,3.58091834501965,2.0313906073116117,"[array([0.3], dtype=float32), array([0.12666287], dtype=float32), array([0.3516632], dtype=float32), array([1.], dtype=float32), array([0.55], dtype=float32), array([0.7485547], dtype=float32)]","[1.827324234851893e-13, 0.9999998807907104, 1.0254184701352642e-07]"
5,1,Select,2.7815611352934124,2.7815611352934124,"[array([0.], dtype=float32), array([-0.6852128], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.3616077], dtype=float32)]","[0.0, 1.0, 2.477369554612022e-35]"
5,2,Skip,1.8796489730541237,2.330605054173768,"[array([0.], dtype=float32), array([-0.12288432], dtype=float32), array([1.], dtype=float32), array([1.], dtype=float32), array([0.95], dtype=float32), array([0.6559235], dtype=float32)]","[1.0, 1.090359624811299e-08, 1.739673075734638e-12]"
5,3,Select,1.9057145570001262,2.1889748884492204,"[array([0.5], dtype=float32), array([-0.5573579], dtype=float32), array([0.8121658], dtype=float32), array([1.], dtype=float32), array([0.9], dtype=float32), array([0.7137562], dtype=float32)]","[2.107918758937921e-22, 1.0, 4.374325053034054e-18]"
5,4,Skip,0.12000000000000005,1.6717311663369154,"[array([0.5], dtype=float32), array([-1.], dtype=float32), array([0.79144955], dtype=float32), array([0.3], dtype=float32), array([0.85], dtype=float32), array([0.42160782], dtype=float32)]","[0.9999991655349731, 8.1100790794153e-07, 2.2768475993473203e-10]"
5,5,Skip,2.10790412581385,1.7589657582323024,"[array([0.5], dtype=float32), array([0.6976994], dtype=float32), array([0.62515575], dtype=float32), array([1.], dtype=float32), array([0.8], dtype=float32), array([0.6346329], dtype=float32)]","[1.0, 1.0011423912104078e-09, 6.1827053893237505e-12]"
5,6,Select,2.9040281947553797,1.9498094976528153,"[array([0.], dtype=float32), array([-1.], dtype=float32), array([0.66729116], dtype=float32), array([0.3], dtype=float32), array([0.75], dtype=float32), array([0.00315233], dtype=float32)]","[1.401298464324817e-45, 1.0, 1.0436013478491782e-25]"
5,7,Skip,2.169994129401424,1.9812644450454737,"[array([0.], dtype=float32), array([-1.], dtype=float32), array([0.5379842], dtype=float32), array([0.3], dtype=float32), array([0.7], dtype=float32), array([0.], dtype=float32)]","[1.0, 5.2942631612040714e-08, 1.066039923003359e-09]"
5,8,Skip,2.119340925586216,1.9985240051130666,"[array([0.3], dtype=float32), array([0.07315546], dtype=float32), array([0.54786533], dtype=float32), array([0.3], dtype=float32), array([0.65], dtype=float32), array([0.41319767], dtype=float32)]","[0.9999996423721313, 3.7058214275020873e-07, 1.0812159167983282e-08]"
5,9,Skip,1.3318708863617512,1.9244514363629206,"[array([0.], dtype=float32), array([-0.7285405], dtype=float32), array([0.80291736], dtype=float32), array([1.], dtype=float32), array([0.6], dtype=float32), array([0.2854899], dtype=float32)]","[0.9996115565299988, 0.000378455501049757, 1.0052829566120636e-05]"
5,10,Skip,2.1137244170663196,1.9433787344332605,"[array([0.], dtype=float32), array([-0.3466725], dtype=float32), array([0.5038661], dtype=float32), array([1.], dtype=float32), array([0.55], dtype=float32), array([0.4888801], dtype=float32)]","[0.9999852180480957, 1.4216984709491953e-05, 6.042393465577334e-07]"
