Model,Mean Reward,Std Reward,Mean Efficiency,High-Value Selections
A2C,45.18280985920071,3.738493615797575,0.98,53
DQN,27.71391991224458,5.80647845330303,0.8153333333333334,59
REINFORCE,20.40160209038905,7.012431161315693,0.6477619047619048,73
PPO,6.628382979163917,5.7303903728969185,0.8299999999999998,115
